emoji,unicode_name,group,graha,element,layer,nakshatra,varna,rasa,dosha,vastu_zone,confidence,method,attestation,attestation_status
🏫,school,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏬,department store,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏭,factory,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏯,Japanese castle,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏰,castle,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💒,wedding,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🗼,Tokyo tower,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🗽,Statue of Liberty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛪,church,Travel & Places,guru,earth,S4,,brahmana,,,,0.6,building_sacred,SYNTHESIS,inferred_coherent
🕌,mosque,Travel & Places,guru,earth,S4,,brahmana,,,,0.6,building_sacred,SYNTHESIS,inferred_coherent
🛕,hindu temple,Travel & Places,guru,earth,S4,,brahmana,,,,0.6,building_sacred,SYNTHESIS,inferred_coherent
🕍,synagogue,Travel & Places,guru,earth,S4,,brahmana,,,,0.6,building_sacred,SYNTHESIS,inferred_coherent
⛩️,shinto shrine,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕋,kaaba,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛲,fountain,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛺,tent,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌁,foggy,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌃,night with stars,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏙️,cityscape,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌄,sunrise over mountains,Travel & Places,shani,earth,S4,,universal,,,,0.5,landscape_earth,SYNTHESIS,inferred_coherent
🌅,sunrise,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌆,cityscape at dusk,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌇,sunset,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌉,bridge at night,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
♨️,hot springs,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎠,carousel horse,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛝,playground slide,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎡,ferris wheel,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎢,roller coaster,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💈,barber pole,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎪,circus tent,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚂,locomotive,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚃,railway car,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚄,high-speed train,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚅,bullet train,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚆,train,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚇,metro,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚈,light rail,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚉,station,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚊,tram,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚝,monorail,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚞,mountain railway,Travel & Places,shani,earth,S4,,universal,,,,0.5,landscape_earth,SYNTHESIS,inferred_coherent
🚋,tram car,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚌,bus,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚍,oncoming bus,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚎,trolleybus,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚐,minibus,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚑,ambulance,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚒,fire engine,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚓,police car,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚔,oncoming police car,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚕,taxi,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚖,oncoming taxi,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚗,automobile,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚘,oncoming automobile,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚙,sport utility vehicle,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛻,pickup truck,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚚,delivery truck,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚛,articulated lorry,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚜,tractor,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏎️,racing car,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏍️,motorcycle,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛵,motor scooter,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦽,manual wheelchair,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🦼,motorized wheelchair,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛺,auto rickshaw,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚲,bicycle,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛴,kick scooter,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛹,skateboard,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛼,roller skate,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚏,bus stop,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛣️,motorway,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛤️,railway track,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛢️,oil drum,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛽,fuel pump,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛞,wheel,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚨,police car light,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚥,horizontal traffic light,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚦,vertical traffic light,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛑,stop sign,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚧,construction,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⚓,anchor,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛟,ring buoy,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛵,sailboat,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛶,canoe,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚤,speedboat,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛳️,passenger ship,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛴️,ferry,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛥️,motor boat,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚢,ship,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
✈️,airplane,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛩️,small airplane,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛫,airplane departure,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛬,airplane arrival,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪂,parachute,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💺,seat,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚁,helicopter,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚟,suspension railway,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚠,mountain cableway,Travel & Places,shani,earth,S4,,universal,,,,0.5,landscape_earth,SYNTHESIS,inferred_coherent
🚡,aerial tramway,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛰️,satellite,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🚀,rocket,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛸,flying saucer,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛎️,bellhop bell,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧳,luggage,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⌛,hourglass done,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⏳,hourglass not done,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⌚,watch,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⏰,alarm clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⏱️,stopwatch,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⏲️,timer clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕰️,mantelpiece clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕛,twelve o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕧,twelve-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕐,one o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕜,one-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕑,two o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕝,two-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕒,three o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕞,three-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕓,four o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕟,four-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕔,five o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕠,five-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕕,six o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕡,six-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕖,seven o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕢,seven-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕗,eight o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕣,eight-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕘,nine o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕤,nine-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕙,ten o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕥,ten-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕚,eleven o’clock,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕦,eleven-thirty,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌑,new moon,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌒,waxing crescent moon,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌓,first quarter moon,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌔,waxing gibbous moon,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌕,full moon,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌖,waning gibbous moon,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌗,last quarter moon,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌘,waning crescent moon,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌙,crescent moon,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌚,new moon face,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌛,first quarter moon face,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌜,last quarter moon face,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌡️,thermometer,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
☀️,sun,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌝,full moon face,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌞,sun with face,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪐,ringed planet,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⭐,star,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌟,glowing star,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌠,shooting star,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌌,milky way,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
☁️,cloud,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛅,sun behind cloud,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛈️,cloud with lightning and rain,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌤️,sun behind small cloud,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌥️,sun behind large cloud,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌦️,sun behind rain cloud,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌧️,cloud with rain,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌨️,cloud with snow,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌩️,cloud with lightning,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌪️,tornado,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌫️,fog,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌬️,wind face,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌀,cyclone,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌈,rainbow,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌂,closed umbrella,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
☂️,umbrella,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
☔,umbrella with rain drops,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛱️,umbrella on ground,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⚡,high voltage,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
❄️,snowflake,Travel & Places,chandra,water,S4,,universal,,,,0.5,landscape_water,SYNTHESIS,inferred_coherent
☃️,snowman,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛄,snowman without snow,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
☄️,comet,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🔥,fire,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
💧,droplet,Travel & Places,,earth,S4,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🌊,water wave,Travel & Places,chandra,water,S4,,universal,,,,0.5,landscape_water,SYNTHESIS,inferred_coherent
🎃,jack-o-lantern,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎄,Christmas tree,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎆,fireworks,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎇,sparkler,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧨,firecracker,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
✨,sparkles,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎈,balloon,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎉,party popper,Activities,shukra,fire,S2,,brahmana,,,,0.7,activity_art,SYNTHESIS,inferred_coherent
🎊,confetti ball,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎋,tanabata tree,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎍,pine decoration,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎎,Japanese dolls,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎏,carp streamer,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎐,wind chime,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎑,moon viewing ceremony,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧧,red envelope,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎀,ribbon,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎁,wrapped gift,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎗️,reminder ribbon,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎟️,admission tickets,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎫,ticket,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎖️,military medal,Activities,surya,fire,S6,,kshatriya,,,,0.6,activity_victory,SYNTHESIS,inferred_coherent
🏆,trophy,Activities,surya,fire,S6,,kshatriya,,,,0.6,activity_victory,SYNTHESIS,inferred_coherent
🏅,sports medal,Activities,surya,fire,S6,,kshatriya,,,,0.6,activity_victory,SYNTHESIS,inferred_coherent
🥇,1st place medal,Activities,surya,fire,S6,,kshatriya,,,,0.6,activity_victory,SYNTHESIS,inferred_coherent
🥈,2nd place medal,Activities,surya,fire,S6,,kshatriya,,,,0.6,activity_victory,SYNTHESIS,inferred_coherent
🥉,3rd place medal,Activities,surya,fire,S6,,kshatriya,,,,0.6,activity_victory,SYNTHESIS,inferred_coherent
⚽,soccer ball,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⚾,baseball,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥎,softball,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏀,basketball,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏐,volleyball,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏈,american football,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏉,rugby football,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎾,tennis,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥏,flying disc,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎳,bowling,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏏,cricket game,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏑,field hockey,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏒,ice hockey,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥍,lacrosse,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏓,ping pong,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🏸,badminton,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥊,boxing glove,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥋,martial arts uniform,Activities,shukra,fire,S2,,brahmana,,,,0.7,activity_art,SYNTHESIS,inferred_coherent
🥅,goal net,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛳,flag in hole,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
⛸️,ice skate,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎣,fishing pole,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🤿,diving mask,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎽,running shirt,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎿,skis,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🛷,sled,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🥌,curling stone,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎯,bullseye,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪀,yo-yo,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪁,kite,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🔫,water pistol,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎱,pool 8 ball,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🔮,crystal ball,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪄,magic wand,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎮,video game,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🕹️,joystick,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎰,slot machine,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🎲,game die,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧩,puzzle piece,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🧸,teddy bear,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪅,piñata,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
🪩,mirror ball,Activities,,fire,S6,,universal,,,,0.3,group_default,SYNTHESIS,inferred_coherent
